
18143;苹果 iPhone 5C（电信版）;980;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);;0.5;0.4;0.7;-0.1;-0.03;;0.06;0.25;;0.03;0.07;;;;;0.4;0.8;;0.07;0.15;0.2;0.4;0.5;;0.05;0.08;0.05;0.05;0.08;0.05;0.2;;0.2;0.2;0.4;;0.2;0.07;0.5;;0.1;;0.2;;0.1;0.15;0.25;;0.05;0.1;0.12;-0.005;-0.001;;
18241;iphone 5s（水货）;850;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18255;iPhone 5（电信版）;570;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
16721;iphone 4S;540;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
16728;iphone 4电信版;50;sz 0;h 0;(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
16662;iphone 1代;5;sz 0;h 0;(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
16737;iphone 4S电信版;450;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
18720;苹果iPhone 6 Plus（国行A1524）;4250;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18589;苹果iPhone 6 Plus（国行A1593）;4050;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18464;苹果iPhone 6 Plus(港版A1524);3700;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
16686;iphone 4代;360;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
