索尼LT26w（Xperia acro S）;70
HTC T329w;70
诺基亚 Lumia 800c 电信版;50
HTC G12 DesireS S510e;5
酷派大神F1（8297）;210
vivo Xplay 3S-T（移动版）;1150
华为U9508（荣耀四核爱享版）;70
三星 S7562 Galaxy S Duos;70
摩托罗拉XT910 MAXX（RAZR MAXX）;100
三星 I879（Galaxy Grand  电信版）;210
诺基亚 8800;160
小米红米1S（移动版/8GB）;180
诺基亚625 625H;160
华为Ascend D2（D2-2010/32GB/电信版）;210
LG P970;70
HTC G10（Desire HD） A9191;5
三星 NOTE3 N900 N9000;950
HTC T327t;70
三星 GALAXY Note 4/N9109W 电信4G;2420
金立E6;70
诺基亚 N86;5
vivo Y15（移动版）;240
步步高 vivo X5L 移动4G;980
摩托罗拉XT928（RAZR锋芒/电信版）;90
魅族 MX4 PRO 移动联通双4G版;1000
诺基亚Lumia 1320;400
三星 I9100G 联通版;80
HTC 8S A620d A620t;20
三星 S5830i;70
华为 C8815 电信版;70
三星I8558（Galaxy Win 移动版）;230
华为 C8650;5
黑莓Z30;450
OPPO Find 7/X9007 移动 联通 轻装版;780
华为 G700 联通版 电信版;70
魅族 M8(8GB);10
摩托罗拉 ME860 MB860;5
三星 I9128E I9128i 9128V（Galaxy Grand 移动版）;220
华为C8813D;70
金立ELIFE S5.5（GN9000）;300
三星 S7572;5
小米 M3 联通版;450
三星GALAXY GRAND 2（G7106/联通版）;350
中兴 V880;5
HTC One M8t（移动版）;1290
中兴Grand Memo N5 N5s;20
HTC T329d;70
三星 N7105 Galaxy Note2 LTE;680
索尼 ST25i（Xperia U）;120
联想VIBE Z（K910/联通版）;300
摩托罗拉 Droid RAZR MAXX HD;80
小米红米1S（联通版/8GB） ;160
华为Ascend P6（联通版/8GB）;350
诺基亚 8800A;540
黑莓 Q5;160
三星 P729（Galaxy Mega 6.3 电信版）;450
索尼 LT15i;80
vivo S7;70
摩托罗拉XT926（DROID RAZR HD）;80
LG F200L（Optimus Vu 2 ）;70
诺基亚 8800SE;450
黑莓Q10;300
摩托罗拉 XT800;5
三星GALAXY Note 4（N9100/公开版/双4G）;2670
OPPO N1（联通版）;490
联想VIBE X（S960）;200
黑莓P9981;1340
金立E3 E3T;60
索尼LT26i（Xperia S）;5
三星 N7508V  NOTE 3 Lite TD-LTE版;1050
vivo Y19t;260
联想 S820;160
索尼Xperia SP（M35c 电信版）;190
OPPO R1（R829T）;350
三星W789（电信版）;490
HTC G21（SensationXL）;40
华为荣耀3X G750-T01;380
酷派7295;70
三星GALAXY GRAND 2（G7108/移动版）;350
索尼Xperia Z2（L50t/移动TD-LTE版）;1050
HTC 8S A620e 联通版;20
诺基亚 5530XM;5
小米 红米Note 增强版 移动4G;460
摩托罗拉XT925（RAZR HD）;70
三星 I9228（Galaxy Note 移动版）;90
联想 P780;160
华为 G510;70
天语 W619 小黄蜂 联通版;5
三星GALAXY Note Edge N9150;2910
HTC G13 WildfireS A510e;5
三星 I9000;70
魅族 M8(16GB);10
HTC T327d;70
索尼LT30p（Xperia T）;260
索尼L39t（Xperia Z1/移动版）;590
摩托罗拉智游 ME600;5
LG F160L（Optimus LTE 2）;100
摩托罗拉 Milestone XT702;5
LG LU6200（OptimusLTE）;5
三星G9098（移动版）;5360
酷派7296（联通版）;70
联想A789 联通版;30
诺基亚 N97;5
中兴V987（Grand X Quad/联通版）;40
LG G3;1240
索尼爱立信 st18i;70
三星 I9305 Galaxy S3 LTE;400
LG P705 OptimusL 联通版;70
中兴 V889D;5
中兴 V955;5
HTC One max 8088/单卡/移动版;490
天语 W719 联通版;5
小米 M3 电信版;490
中兴Nubia Z5S 努比亚;400
联想 S920 ;160
华为 W1;20
美版三网5S 日版三网5S（无锁）;1390
金立E5;70
诺基亚X;40
三星 I9003（Galaxy SL）;90
索爱 X10i;20
一加手机 1+手机;830
三星 I9108;70
索尼 L35h;260
黑莓 9000;5
HTC One M8w（联通版）;1150
OPPO R1S（R8007/移动TD-LTE版）;450
三星 I9268（GALAXY Premier 移动版）;200
索尼LT28i（Xperia ion）;160
三星I8268（移动版）;70
vivo S6 S6T;70
诺基亚2010 ;5
摩托罗拉 ME525+（Defy）（MB525,MB526）;10
黑莓 8520;10
联想 乐phone 3G W100;5
HTC T327w;70
诺基亚 5800;5
三星 I9200 (Galaxy Mega 6.3);460
OPPO T29;70
OPPO Find 7/X9077 移动 联通 标准版;870
联想 P700;70
三星 N7509V(GALAXY Note3 Lite电信4G版);1590
金立E7;350
华为Ascend P7（联通TD-LTE版）;830
金立 GN105;5
金立 GN868;20
酷派 7230联通版;5
索爱 W580c;5
华为 Mate 7 高配版;2220
黑莓 9630;10
金立 GN106;5
酷派8730L;130
华为Mate 2（MT2-L02/移动TD-LTE版）x1;450
三星GALAXY GRAND 2（G7109/电信版）;440
三星 GALAXY Note 4/N9108V 移动4G;2420
小米 红米1S 移动4G;210
三星 B9388;2420
华为 Mate 7 电信4G;1690
HTC E1（603e）;120
摩托罗拉 RAZR2 V9;5
联想 A60 联通版;5
索尼Xperia Z2（L50u/联通TD-LTE版）;830
索尼L39u（Xperia Z1/联通版）;490
金立 GN777;5
索尼 MT27i（Xperia sola）;70
天语 V8;5
黑莓 9500;5
华为T8950（荣耀+ G600t 移动版）;110
索尼 Xperia Z3/L55T;1730
华为Ascend P7（电信TD-LTE版）;830
天语 W619（小黄蜂）;5
OPPO A100;5
联想 乐phone 3G W101;5
步步高 i6;5
中兴U960s;5
小米平板;640
联想S890;50
TCL W989联通版;20
酷派7290 联通版;5
三星Galaxy Mega 5.8（I9150）;300
联想 S868T;20
三星I699 I699i;70
LG GD580;5
中国移动M811;140
华为Y300C（C8833/电信版）;30
摩托罗拉 MT917;50
华为Ascend P6s（联通版/16GB）;370
三星G3858（GALAXY Beam 2）;220
LG G Flex（D958）;640
联想 A800;70
中兴 N760;5
酷派 8720Q（炫影S+  移动版）;110
索爱 C510;5
三星 I739（Galaxy Trend II 电信版）;70
摩托罗拉 A3100;5
黑莓 8900;5
摩托罗拉 RAZR V8;5
诺基亚 E66;5
vivo Y13;190
金立 C600;5
天语 W700;5
魅族 MX4 Pro 移动4G版;950
华为Ascend P7（移动TD-LTE版）;870
索爱 W980;5
摩托罗拉 V3;5
华为U8950D （荣耀+ G600 联通版）;70
诺基亚 C7;50
黑莓 8310;10
天语 W860;5
索尼Xperia T2 Ultra（XM50t/移动TD-LTE版）;450
三星 I889（Galaxy Note 电信版）;110
华为 G525;90
LG P880（Optimus 4X HD）;110
索爱 W705;5
摩托罗拉 MT710;5
魅族 MX3 联通版;480
小米4 M4 3GRAM 电信4G 全网通;1050
HTC T328t（新渴望V）移动版;40
夏普 SH9020c;5
天语 E600;5
步步高 i508;5
索尼Xperia Z2（L50w/联通3G版）;830
OPPO R827T（移动版）;210
华为B199;350
华为 C8813Q;50
酷派 8150;5
三星G3812（GALAXY Win Pro）;120
步步高 i530;5
联想 A690 联通版;10
三星 I8262D（Galaxy Duos）;90
摩托罗拉 A1200;5
金立 GN380;5
三星G9092（联通版）;4870
三星 I9105P（GALAXY S2 Plus）;160
天语 E800;5
黑莓 8820;10
TCL Idol X+（S960）;210
OPPO A201;5
索尼M51w（Xperia Z1 炫彩版）;540
酷派 5860;5
OPPO A90;5
金立 GN205;5
夏普 SH9120C;5
诺基亚 C5-03;5
飞利浦 D908;5
联想S930;210
海信 U8 联通版;20
OPPO T9;5
摩托罗拉 Q8;5
诺基亚 Lumia 930;1200
海信 U950;20
天语 W606;10
黑莓 9530;5
索爱 S312;5
小米 NOTE ;1510
华为Mate 2（MT2-C00/电信版）X1;450
天语 U2;5
黑莓 9550;10
索爱 T715;5
索爱 W908c;5
索爱 G900;5
飞利浦 W930;20
三星 W799;110
索尼 Xperia Z3/L55U 联通4G;1540
夏普 SH906i;5
HTC M8d 电信版;1140
酷派大神（9976A）;260
摩托罗拉 A1800;5
三星 GALAXY Note 3 Lite/N7506V 联通版;540
黑莓 8220;10
索爱 C905;5
索爱 X2i;5
黑莓 8120;5
摩托罗拉MOTO G;90
三星G3818（GALAXY Win Pro 移动版）;220
黑莓 9520;10
HTC G16 Chacha;5
天语 D6800;5
步步高 i269;5
金立 TD500;10
天语 W616;5
夏普 SH9110c;5
夏普 SH0902C;5
HTC Desire 606w 608t 609d;160
酷派 N900＋;5
中兴 N700;5
LG KV600;5
朵唯 S768;5
诺基亚 5233;5
索爱 U1i;5
金立W800;400
飞利浦 W635;20
夏普 SH9010C;5
palm Pre;5
诺基亚 N81;10
LG KS360;5
酷派 N900;5
黑莓 8707;5
金立GN109;5
天语 W808;5
夏普 SH6010C;10
夏普 SH06A;70
索爱 S500i;5
夏普 SH9130C;5
天语 W680;5
黑莓 8110;5
LG KF510;5
索爱 W910i;5
朵唯 S930;5
LG BL40;5
朵唯iEva D5;20
朵唯 S620;5
OPPO A105;5
中兴 N600;5
LG KT878;5
夏普 812SH;5
飞利浦 V726;10
酷派 N91;5
摩托罗拉Moto X;190
步步高 i266;5
酷派 W700;5
朵唯 S760;5
夏普 GX29;10
HTC One E8（M8St/时尚版/移动4G）;680
LG KC910;5
palm TreoPro;5
酷派 F800;5
中兴 U236;5
三星Galaxy Core 2（G3556D）;230
诺基亚 630;190
华为C8816（电信版）;30
天语 W800（阿里云2）;5
朵唯 S808;5
索爱 C902;5
朵唯 S920;5
小米 红米Note 特别版;400
LG KF300;5
酷派 E239;5
联想 p609;5
三星W689;210
华为 Ascend D2 联通版;110
索爱 Z610i;5
索爱 G705;5
夏普 923SH;10
朵唯 WG900;5
夏普 SH6110C;10
中兴 U210;5
步步高 K203M;5
天语 W700（彩色）;5
朵唯 S730;5
联想 O1;5
酷派 D530;5
palm Treo500v;5
夏普 SH8010C;10
夏普 SH6018C;5
索爱 C903;5
中兴 N600+;5
飞利浦 W920;20
TCL J928;70
环保功能机;5
三星 I9008;10
金立X817;50
LG F300L（Optimus Vu 3）;140
索爱 W902;5
步步高 K302;5
三星I779;90
步步高 i188;5
中兴 N880;5
飞利浦 W632;20
palm Treo800w;5
夏普 SH01A;10
夏普 SH1810C;10
金立 GN210;5
华为Mate 2 MT2-L05/联通TD-LTE版 X1;400
索尼M36h（Xperia ZR）;260
中兴N919（电信版）;50
palm Centro;5
palm Pixi;5
小米 红米Note 增强版 联通4G;450
三星 GALAXY Note 4/N9106W 联通4G;2220
酷派 N930;5
索尼Xperia SP（M35t TD-LTE版）;190
OPPO N3（N5207 移动4G）;1930
联想 P82;5
中兴 U700;5
夏普 SH6118C;10
夏普 920SH;5
步步高 K118;5
诺基亚 Lumia 830;730
中兴 V960;5
中兴 X920;5
OPPO A113;5
黑莓 8800;5
飞利浦 W626;10
酷派 D510;5
酷派 W711;5
三星GALAXY S6（G9200/全网通）;3600
黑莓P;1930
华为U9200（Ascend P1）;70
多普达 Qilin T8388;5
OPPO R815T  R815w;210
摩托罗拉 A1600;5
小米 红米Note 增强版 联通3G;400
华为C8813DQ;160
天语Touch 3;5
三星 S7562i;70
LG KF350;5
palm Treo680;5
美图秀秀1S;170
三星 I9507V（联通4G）;590
vivo Y11 Y11T;170
三星S7898;70
三星 I9158 (Galaxy Mega 5.8移动版）;260
三星 GALAXY K Zoom/C1116 联通版;400
华为荣耀3X Pro（G750-T20/双3G版）;400
诺基亚 N73;5
摩托罗拉 ROKRE8;5
多普达 T5399;5
摩托罗拉 U9;5
步步高 K201;5
三星Galaxy Trend 3（G3509/电信版）;120
多普达 D9000;5
美图秀秀 Meitu Kiss;160
HTC 601e（One Mini）;260
华为 荣耀6 Plus（PE-TL10/双4G）;1240
酷派8720L;110
三星 I579;10
OPPO P51;5
HTC DesireZ A7272 ;5
多普达 U1000;5
vivo E1;5
中兴V5（青春版/移动TD-LTE/1GB RAM）;190
美图手机2;160
多普达 Touch Diamond S900;5
vivo Y17 Y17t;260
小米 红米NOTE 标准版 移动3G;350
三星 GALAXY S5/G9006W 联通版;1590
多普达 A6188W;5
摩托罗拉XT912（DROID RAZR）;70
索爱 U100i;5
多普达 A6288;10
多普达 S1 （精英版）;5
Palm Treo850w;5
HTC S728e（One X+）;160
联想A788t;70
多普达 Touch Diamond2 T5388 T5353;5
中兴青漾 2（G717C/电信版）;110
中兴N986（电信版）中兴青漾;110
海信HS-EG916;5
摩托罗拉 moto x（x+1）(XT1085);1200
诺基亚 638 移动TD-LTE版;200
魅蓝;350
多普达 A3288;5
三星G3819D（GALAXY Win Pro 电信版）;170
酷派 E600;5
三星 I9103;70
vivo Y20 Y20t;260
酷派8702（移动TD-LTE版）;90
联想A820;70
摩托罗拉XT907（DROID RAZR M）;70
联想A708t;170
中兴星星1号;350
步步高 i270;5
中兴N988（Grand S 电信版）;110
多普达 TouchPro T7278;5
多普达 C750;5
三星 T705C;1540
多普达 TouchViva T2222;5
诺基亚6600i;5
酷派8730;70
荣耀畅玩4X 双卡双待 全网通（高配）;640
Coolpad/酷派 8670大神note;160
华为 荣耀3C/H30-L01 移动TD-LTE版;380
华为C8950D（荣耀+ G600c 电信版）;50
多普达 P660;5
黑莓 9930（Montana）;110
多普达 S505;5
三星 G3588V 移动TD-LTE版;330
多普达 Touch T3238;5
华为 荣耀 X1/7D-503L 双4G版;730
HTC D820u;400
华为T9510E Ascend D1 四核 XL（移动版）;70
中兴天机Grand S Ⅱ;160
多普达 S700;5
华为 G606;20
酷派9970（酷派大观4 电信版）;140
中兴Q802T（移动版）;20
多普达 P800W;5
多普达 S1＋（移动版）;5
多普达 P800;5
金立V182;40
LG C660（Optimus pro）;5
中兴N983（电信版）;20
华为 Y310 Y320;5
华为8825d;20
摩托罗拉 Q11;5
黑莓 8700;5
HTC Desire 7088 移动版;400
诺基亚 N97 Mini;10
